,AG00,AP00,AS00,BU00,ED00,IF00,SO00,BA00,FA00,HM00,HA00,JU00,II00,GO00,RU00,SY00,SM00,PW00,VR00,WM00,IG00,ZI00
AG00,46,0,11,4,5,1,1,4,2,3,1,3,6,2,1,3,5,10,5,0,2,0
AP00,0,51,0,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2
AS00,11,0,62,3,9,1,1,0,5,4,2,3,10,4,2,7,2,6,7,0,7,2
BU00,4,5,3,38,3,3,0,5,1,0,1,1,4,4,2,0,2,3,2,7,0,0
ED00,5,0,9,3,41,1,1,3,2,3,1,1,5,3,2,3,0,5,2,3,1,1
IF00,1,0,1,3,1,54,0,0,2,1,2,0,1,1,1,2,0,0,1,0,3,1
SO00,1,1,1,0,1,0,10,1,1,3,0,3,1,2,0,0,1,2,0,1,1,3
BA00,4,0,0,5,3,0,1,61,5,1,0,1,0,5,0,4,4,3,0,0,5,1
FA00,2,0,5,1,2,2,1,5,46,7,1,9,3,4,1,8,3,4,1,0,0,0
HM00,3,0,4,0,3,1,3,1,7,30,1,5,3,2,0,5,3,6,1,0,2,1
HA00,1,0,2,1,1,2,0,0,1,1,9,1,0,0,1,1,0,1,0,1,0,0
JU00,3,0,3,1,1,0,3,1,9,5,1,39,5,7,0,3,3,4,0,0,1,2
II00,6,0,10,4,5,1,1,0,3,3,0,5,46,5,1,4,1,6,5,0,0,0
GO00,2,0,4,4,3,1,2,5,4,2,0,7,5,40,1,3,1,8,0,1,0,4
RU00,1,1,2,2,2,1,0,0,1,0,1,0,1,1,13,0,0,1,0,0,0,0
SY00,3,0,7,0,3,2,0,4,8,5,1,3,4,3,0,40,2,6,1,0,0,0
SM00,5,1,2,2,0,0,1,4,3,3,0,3,1,1,0,2,25,4,3,0,0,0
PW00,10,0,6,3,5,0,2,3,4,6,1,4,6,8,1,6,4,60,7,0,1,1
VR00,5,0,7,2,2,1,0,0,1,1,0,0,5,0,0,1,3,7,25,0,1,0
WM00,0,0,0,7,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,39,2,2
IG00,2,3,7,0,1,3,1,5,0,2,0,1,0,0,0,0,0,1,1,2,21,3
ZI00,0,2,2,0,1,1,3,1,0,1,0,2,0,4,0,0,0,1,0,2,3,12
