Committee,Code
Subcommittee on National Security (Committee on Oversight and Accountability),GO06
Subcommittee on Government Operations (Committee on Oversight and Accountability),GO24
Subcommittee on Workforce Protections (Committee on Education and the Workforce),ED10
Subcommittee on Higher Education and Workforce Investment (Committee on Education and the Workforce),ED13
Subcommittee on Civil Rights and Human Services (Committee on Education and the Workforce),ED07
"Subcommittee on Early Childhood, Elementary, and Secondary Education (Committee on Education and the Workforce)",ED14
"Subcommittee on Health, Employment, Labor, and Pensions (Committee on Education and the Workforce)",ED02
Subcommittee on Environment (Committee on Oversight and Accountability),GO28
Subcommittee on Economic and Consumer Policy (Committee on Oversight and Accountability),GO05
Subcommittee on Civil Rights and Civil Liberties (Committee on Oversight and Accountability),GO02
